Consuming from topic: traffic.events (Ctrl+C to stop)
[RECEIVED] key=SPEED_CAMERA partition=0 offset=0 event={'event_id': 'b137c55c-d83f-4bc4-b9a7-23b77c144897', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:25.964046+00:00', 'city': 'Lille', 'road': 'A6', 'lat': 48.8061, 'lon': 2.318646, 'speed_limit_kmh': 70, 'direction': 'N', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=72 event={'event_id': '58542f0c-2acd-49a7-ab9c-cc751ce174af', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:38.749030+00:00', 'city': 'Lille', 'road': 'A13', 'lat': 48.831582, 'lon': 2.339109, 'severity': 'HIGH', 'avg_speed_kmh': 20, 'length_m': 2549}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=73 event={'event_id': 'e041632a-f563-4d00-b961-9b1fbed2cab2', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:39.765227+00:00', 'city': 'Lille', 'road': 'N118', 'lat': 48.872291, 'lon': 2.338863, 'severity': 'MEDIUM', 'avg_speed_kmh': 35, 'length_m': 4846}
[RECEIVED] key=ACCIDENT partition=0 offset=74 event={'event_id': 'b99e741e-3c91-44ac-995a-4683c9a70166', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:40.777274+00:00', 'city': 'Lille', 'road': 'A6', 'lat': 48.843095, 'lon': 2.318205, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=ACCIDENT partition=0 offset=75 event={'event_id': 'd3eaf460-e52f-4857-9cec-27f0848186b0', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:41.784863+00:00', 'city': 'Lyon', 'road': 'A7', 'lat': 48.832931, 'lon': 2.380564, 'severity': 'MINOR', 'lanes_blocked': 1, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=76 event={'event_id': '672f54ab-e065-4939-8597-a7442beadf20', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:42.787167+00:00', 'city': 'Marseille', 'road': 'Peripherique', 'lat': 48.82489, 'lon': 2.303459, 'speed_limit_kmh': 50, 'direction': 'N', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=77 event={'event_id': '4066a7b7-db0b-4e7d-acc1-51298ac9a9f2', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:43.800332+00:00', 'city': 'Lille', 'road': 'A13', 'lat': 48.84563, 'lon': 2.335787, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': False}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=78 event={'event_id': '0f95c223-9426-49b6-a7eb-27e494176f31', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:44.812814+00:00', 'city': 'Lille', 'road': 'A10', 'lat': 48.898308, 'lon': 2.407563, 'speed_limit_kmh': 70, 'direction': 'E', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=79 event={'event_id': '85a54916-0eb1-496b-a248-05cbb16ce22b', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:45.827778+00:00', 'city': 'Lille', 'road': 'A13', 'lat': 48.899519, 'lon': 2.414369, 'severity': 'LOW', 'avg_speed_kmh': 25, 'length_m': 1125}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=80 event={'event_id': 'd1c84ae1-3442-42b6-a5d3-3f237d3e7311', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:46.829830+00:00', 'city': 'Toulouse', 'road': 'A7', 'lat': 48.898852, 'lon': 2.260448, 'speed_limit_kmh': 70, 'direction': 'S', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=81 event={'event_id': '1d28292e-d575-4e09-8122-6ce449cc8e3c', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:47.833191+00:00', 'city': 'Lille', 'road': 'A10', 'lat': 48.807862, 'lon': 2.281308, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': False}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=82 event={'event_id': '3a4551f5-85ea-404f-8fa0-b30c70739b4c', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:48.844992+00:00', 'city': 'Marseille', 'road': 'A7', 'lat': 48.858035, 'lon': 2.264892, 'speed_limit_kmh': 90, 'direction': 'E', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=83 event={'event_id': 'c3ee3e03-fb21-4360-99c2-4c08f6e4dfe5', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:49.859692+00:00', 'city': 'Toulouse', 'road': 'A10', 'lat': 48.806136, 'lon': 2.415065, 'severity': 'LOW', 'avg_speed_kmh': 20, 'length_m': 2178}
[RECEIVED] key=ACCIDENT partition=0 offset=84 event={'event_id': '331ba41a-4a37-4a18-985a-c10e23ed3cb6', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:50.871326+00:00', 'city': 'Lille', 'road': 'A1', 'lat': 48.849946, 'lon': 2.319256, 'severity': 'MINOR', 'lanes_blocked': 3, 'injuries_reported': True}
[RECEIVED] key=ACCIDENT partition=0 offset=85 event={'event_id': '3ec63339-b000-4a81-af98-2c7273e69e48', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:51.879028+00:00', 'city': 'Lille', 'road': 'A10', 'lat': 48.893164, 'lon': 2.405817, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': False}
[RECEIVED] key=ACCIDENT partition=0 offset=86 event={'event_id': 'd21ec5a5-0de7-4e0f-a803-1b02f12a7aed', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:52.888745+00:00', 'city': 'Lille', 'road': 'A13', 'lat': 48.842433, 'lon': 2.355139, 'severity': 'MINOR', 'lanes_blocked': 1, 'injuries_reported': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=87 event={'event_id': '019f4480-3da4-46ae-9c6f-bd2b39608a8a', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:53.903733+00:00', 'city': 'Lille', 'road': 'A10', 'lat': 48.837887, 'lon': 2.258548, 'severity': 'LOW', 'avg_speed_kmh': 11, 'length_m': 930}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=88 event={'event_id': 'cf09c6ba-4d32-472f-af0a-9c541c465772', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:54.909918+00:00', 'city': 'Paris', 'road': 'A6', 'lat': 48.845375, 'lon': 2.411659, 'severity': 'MEDIUM', 'avg_speed_kmh': 23, 'length_m': 3880}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=89 event={'event_id': '505f25aa-81d6-465d-b389-75e8a744302b', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:55.924019+00:00', 'city': 'Paris', 'road': 'A13', 'lat': 48.815616, 'lon': 2.2859, 'speed_limit_kmh': 130, 'direction': 'E', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=90 event={'event_id': '0e36ef2a-90c7-462c-bd1e-da7d83fd1c69', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:56.938457+00:00', 'city': 'Toulouse', 'road': 'A6', 'lat': 48.848051, 'lon': 2.304824, 'speed_limit_kmh': 70, 'direction': 'S', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=91 event={'event_id': '10ecbb60-b298-4663-bcef-dff7444fd792', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:57.950673+00:00', 'city': 'Lyon', 'road': 'A1', 'lat': 48.886032, 'lon': 2.349566, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=ACCIDENT partition=0 offset=92 event={'event_id': '48495048-c3fb-4db1-b250-587033b432ef', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:58.952978+00:00', 'city': 'Paris', 'road': 'Peripherique', 'lat': 48.851998, 'lon': 2.416102, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': False}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=93 event={'event_id': '551ed5b1-115f-4bb2-8252-fc64a7287c7f', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:59.962814+00:00', 'city': 'Lyon', 'road': 'N118', 'lat': 48.864132, 'lon': 2.289183, 'severity': 'LOW', 'avg_speed_kmh': 8, 'length_m': 3579}
[RECEIVED] key=ACCIDENT partition=0 offset=94 event={'event_id': '1ff79aad-1f0f-4328-844f-2c52b17f03e4', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:00.975913+00:00', 'city': 'Marseille', 'road': 'A1', 'lat': 48.884848, 'lon': 2.298083, 'severity': 'MAJOR', 'lanes_blocked': 3, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=95 event={'event_id': '767d5900-6e4f-427c-ba84-1c0140bcf2a7', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:01.988254+00:00', 'city': 'Lyon', 'road': 'A13', 'lat': 48.893434, 'lon': 2.273687, 'speed_limit_kmh': 110, 'direction': 'N', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=96 event={'event_id': 'ddf62d98-171b-4c61-9d86-70a4648fd212', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:02.996601+00:00', 'city': 'Toulouse', 'road': 'A13', 'lat': 48.828032, 'lon': 2.264413, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': False}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=97 event={'event_id': '0e9e5872-3e98-4e77-a208-f78385a1c766', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:04.010318+00:00', 'city': 'Marseille', 'road': 'N118', 'lat': 48.869857, 'lon': 2.349369, 'speed_limit_kmh': 70, 'direction': 'N', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=98 event={'event_id': '75bba8cf-668d-4d10-a0dc-2f5a94f2c7f7', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:05.022999+00:00', 'city': 'Marseille', 'road': 'N118', 'lat': 48.890502, 'lon': 2.296944, 'severity': 'MEDIUM', 'avg_speed_kmh': 19, 'length_m': 3442}
[RECEIVED] key=ACCIDENT partition=0 offset=99 event={'event_id': 'e5e7256d-4d88-49be-891c-1cea61fd7465', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:06.035553+00:00', 'city': 'Marseille', 'road': 'A10', 'lat': 48.867667, 'lon': 2.363018, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=100 event={'event_id': '66594b50-03ab-4a18-83c6-6aa8d0664f84', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:07.047261+00:00', 'city': 'Toulouse', 'road': 'N118', 'lat': 48.815505, 'lon': 2.347016, 'severity': 'HIGH', 'avg_speed_kmh': 10, 'length_m': 3078}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=101 event={'event_id': 'abf7d6f9-ca05-4261-a1c2-a9a91bed5862', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:08.061853+00:00', 'city': 'Marseille', 'road': 'A13', 'lat': 48.837849, 'lon': 2.29361, 'speed_limit_kmh': 90, 'direction': 'N', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=102 event={'event_id': 'ed6d501a-82f8-4d3a-a2a4-7862b86a10f7', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:09.076104+00:00', 'city': 'Lille', 'road': 'A7', 'lat': 48.865014, 'lon': 2.383548, 'severity': 'MAJOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=ACCIDENT partition=0 offset=103 event={'event_id': 'dcaec72e-480e-4cfa-8aed-f53f7d71109a', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:10.091213+00:00', 'city': 'Lyon', 'road': 'A1', 'lat': 48.890134, 'lon': 2.387866, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': False}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=104 event={'event_id': '732ddc09-297a-4ff5-9880-7e6cbb360453', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:11.101628+00:00', 'city': 'Lille', 'road': 'A1', 'lat': 48.878671, 'lon': 2.390526, 'severity': 'HIGH', 'avg_speed_kmh': 17, 'length_m': 4195}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=105 event={'event_id': '3a693fdc-d364-4f84-ab07-3e248c13512d', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:12.101851+00:00', 'city': 'Toulouse', 'road': 'A6', 'lat': 48.887815, 'lon': 2.393063, 'speed_limit_kmh': 130, 'direction': 'N', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=106 event={'event_id': 'b3f9a460-8cd6-4919-988e-5d111c312094', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:13.111316+00:00', 'city': 'Lille', 'road': 'N118', 'lat': 48.861871, 'lon': 2.416116, 'severity': 'HIGH', 'avg_speed_kmh': 6, 'length_m': 283}
[RECEIVED] key=ACCIDENT partition=0 offset=107 event={'event_id': '46963244-96cd-4d3d-a045-28b08e73b74d', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:14.125397+00:00', 'city': 'Paris', 'road': 'Peripherique', 'lat': 48.833342, 'lon': 2.264305, 'severity': 'MAJOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=108 event={'event_id': '42047a49-73fa-4b9b-abdf-70f38d52a474', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:15.140673+00:00', 'city': 'Lyon', 'road': 'A6', 'lat': 48.862602, 'lon': 2.374521, 'speed_limit_kmh': 30, 'direction': 'W', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=109 event={'event_id': 'ba9fb2fd-767a-4f27-bf11-f95b077e24e9', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:16.150979+00:00', 'city': 'Paris', 'road': 'A1', 'lat': 48.859264, 'lon': 2.40441, 'severity': 'HIGH', 'avg_speed_kmh': 9, 'length_m': 4922}
[RECEIVED] key=ACCIDENT partition=0 offset=110 event={'event_id': '05888ede-3ea7-49a6-8972-ceb06a30e507', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:17.164623+00:00', 'city': 'Paris', 'road': 'N118', 'lat': 48.800474, 'lon': 2.419407, 'severity': 'MINOR', 'lanes_blocked': 3, 'injuries_reported': False}
[RECEIVED] key=ACCIDENT partition=0 offset=111 event={'event_id': '978b9c77-313d-4f16-93d6-4020a2e50b03', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:18.177032+00:00', 'city': 'Lyon', 'road': 'A7', 'lat': 48.850671, 'lon': 2.377398, 'severity': 'MINOR', 'lanes_blocked': 3, 'injuries_reported': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=112 event={'event_id': '866e2a54-479a-4442-afc0-36ecad782f04', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:19.177097+00:00', 'city': 'Lyon', 'road': 'Peripherique', 'lat': 48.820469, 'lon': 2.252011, 'severity': 'HIGH', 'avg_speed_kmh': 14, 'length_m': 2100}
[RECEIVED] key=ACCIDENT partition=0 offset=113 event={'event_id': '2cb081ba-2f3a-4721-b294-0451c056ddad', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:20.187040+00:00', 'city': 'Marseille', 'road': 'Peripherique', 'lat': 48.800261, 'lon': 2.400044, 'severity': 'MAJOR', 'lanes_blocked': 3, 'injuries_reported': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=114 event={'event_id': '1a60bc97-1b03-46fb-b0a5-c3be55f9db14', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:21.200223+00:00', 'city': 'Paris', 'road': 'A7', 'lat': 48.878507, 'lon': 2.25509, 'severity': 'HIGH', 'avg_speed_kmh': 8, 'length_m': 4592}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=115 event={'event_id': 'c7f6769b-13d1-4fd5-b8a5-9ac63e025979', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:22.213658+00:00', 'city': 'Lyon', 'road': 'A10', 'lat': 48.880105, 'lon': 2.375727, 'speed_limit_kmh': 50, 'direction': 'E', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=116 event={'event_id': '03048aa6-3644-4efd-a0fb-185b9f9ee848', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:23.225646+00:00', 'city': 'Lyon', 'road': 'A10', 'lat': 48.807116, 'lon': 2.389823, 'severity': 'MEDIUM', 'avg_speed_kmh': 25, 'length_m': 4814}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=117 event={'event_id': '70a38612-5534-4937-9e18-7d1b85c867e5', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:24.241192+00:00', 'city': 'Paris', 'road': 'A10', 'lat': 48.819734, 'lon': 2.289714, 'speed_limit_kmh': 110, 'direction': 'N', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=118 event={'event_id': 'de8756b7-06bb-4df9-9b0a-fc7a65141faa', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:25.256520+00:00', 'city': 'Lyon', 'road': 'A13', 'lat': 48.841471, 'lon': 2.35227, 'severity': 'LOW', 'avg_speed_kmh': 26, 'length_m': 903}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=119 event={'event_id': '02e68dd6-e414-4b06-a228-df4b74854047', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:26.269167+00:00', 'city': 'Paris', 'road': 'A1', 'lat': 48.858131, 'lon': 2.301993, 'speed_limit_kmh': 50, 'direction': 'N', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=120 event={'event_id': 'fd89f189-a549-4eaa-9787-3186b08c100e', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:27.282879+00:00', 'city': 'Paris', 'road': 'A10', 'lat': 48.839723, 'lon': 2.345848, 'speed_limit_kmh': 70, 'direction': 'W', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=121 event={'event_id': 'fc8bff53-b1b0-4604-bb63-f214a05e6117', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:28.285872+00:00', 'city': 'Lyon', 'road': 'Peripherique', 'lat': 48.811705, 'lon': 2.416054, 'speed_limit_kmh': 30, 'direction': 'N', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=122 event={'event_id': 'bb30b7ca-55ee-40f2-a119-f585cd32e8af', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:47:29.300415+00:00', 'city': 'Marseille', 'road': 'A10', 'lat': 48.861375, 'lon': 2.322032, 'severity': 'HIGH', 'avg_speed_kmh': 18, 'length_m': 3320}
[RECEIVED] key=ACCIDENT partition=0 offset=123 event={'event_id': 'a60c71c6-015b-4591-8803-01d0bbc5d8bf', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:30.316063+00:00', 'city': 'Marseille', 'road': 'A1', 'lat': 48.872699, 'lon': 2.411474, 'severity': 'MAJOR', 'lanes_blocked': 3, 'injuries_reported': False}
[RECEIVED] key=ACCIDENT partition=0 offset=124 event={'event_id': '8f4d044d-48eb-4f84-8fd7-38885e93e55b', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:31.325592+00:00', 'city': 'Marseille', 'road': 'A10', 'lat': 48.873678, 'lon': 2.328851, 'severity': 'MINOR', 'lanes_blocked': 1, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=125 event={'event_id': '89423468-b286-4f6e-8113-bda0cf6ad181', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:32.335208+00:00', 'city': 'Lyon', 'road': 'A7', 'lat': 48.893538, 'lon': 2.318782, 'speed_limit_kmh': 50, 'direction': 'E', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=126 event={'event_id': '99c7d698-db42-45ff-ab5b-b17b68b35012', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:33.345523+00:00', 'city': 'Toulouse', 'road': 'A7', 'lat': 48.841781, 'lon': 2.36833, 'severity': 'MAJOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=127 event={'event_id': '033a71a4-4ef5-4276-bbdf-7a62fc71dfe8', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:34.357085+00:00', 'city': 'Lyon', 'road': 'A10', 'lat': 48.897947, 'lon': 2.381491, 'speed_limit_kmh': 130, 'direction': 'N', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=128 event={'event_id': '60b691cc-085a-4eb1-b9b7-5b36b3cd9561', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:47:35.371583+00:00', 'city': 'Lille', 'road': 'Peripherique', 'lat': 48.811082, 'lon': 2.294752, 'speed_limit_kmh': 90, 'direction': 'E', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=129 event={'event_id': '1a92c471-7e0e-4e68-84be-69da44ee3fb9', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:47:36.386019+00:00', 'city': 'Lille', 'road': 'A6', 'lat': 48.864082, 'lon': 2.358391, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': False}
